start,steps_to_1,maximum,parity_word,parity_length,odd_count,even_count,odd_transition_count,odd_ratio,zero_run_count,max_zero_run,mean_zero_run,first_16_bits,last_16_bits
1,0,1,1,1,1,0,0,1.0,0,0,0.0000,1,1
2,1,2,01,2,1,1,0,0.5,1,1,1.0000,01,01
3,7,16,10100001,8,3,5,2,0.375,2,4,2.5000,10100001,10100001
4,2,4,001,3,1,2,0,0.3333333333333333,1,2,2.0000,001,001
5,5,16,100001,6,2,4,1,0.3333333333333333,1,4,4.0000,100001,100001
6,8,16,010100001,9,3,6,2,0.3333333333333333,3,4,2.0000,010100001,010100001
7,16,52,10101001000100001,17,6,11,5,0.35294117647058826,5,4,2.2000,1010100100010000,0101001000100001
8,3,8,0001,4,1,3,0,0.25,1,3,3.0000,0001,0001
9,19,52,10010101001000100001,20,7,13,6,0.35,6,4,2.1667,1001010100100010,0101001000100001
10,6,16,0100001,7,2,5,1,0.2857142857142857,2,4,2.5000,0100001,0100001
11,14,52,101001000100001,15,5,10,4,0.3333333333333333,4,4,2.5000,101001000100001,101001000100001
12,9,16,0010100001,10,3,7,2,0.3,3,4,2.3333,0010100001,0010100001
13,9,40,1000100001,10,3,7,2,0.3,2,4,3.5000,1000100001,1000100001
14,17,52,010101001000100001,18,6,12,5,0.3333333333333333,6,4,2.0000,0101010010001000,0101001000100001
15,17,160,101010100000100001,18,6,12,5,0.3333333333333333,5,5,2.4000,1010101000001000,1010100000100001
16,4,16,00001,5,1,4,0,0.2,1,4,4.0000,00001,00001
17,12,52,1001000100001,13,4,9,3,0.3076923076923077,3,4,3.0000,1001000100001,1001000100001
18,20,52,010010101001000100001,21,7,14,6,0.3333333333333333,7,4,2.0000,0100101010010001,0101001000100001
19,20,88,101000101001000100001,21,7,14,6,0.3333333333333333,6,4,2.3333,1010001010010001,0101001000100001
20,7,20,00100001,8,2,6,1,0.25,2,4,3.0000,00100001,00100001
21,7,64,10000001,8,2,6,1,0.25,1,6,6.0000,10000001,10000001
22,15,52,0101001000100001,16,5,11,4,0.3125,5,4,2.2000,0101001000100001,0101001000100001
23,15,160,1010100000100001,16,5,11,4,0.3125,4,5,2.7500,1010100000100001,1010100000100001
24,10,24,00010100001,11,3,8,2,0.2727272727272727,3,4,2.6667,00010100001,00010100001
25,23,88,100101000101001000100001,24,8,16,7,0.3333333333333333,7,4,2.2857,1001010001010010,0101001000100001
26,10,40,01000100001,11,3,8,2,0.2727272727272727,3,4,2.6667,01000100001,01000100001
27,111,9232,1010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,112,42,70,41,0.375,41,5,1.7073,1010010101010100,1010100000100001
28,18,52,0010101001000100001,19,6,13,5,0.3157894736842105,6,4,2.1667,0010101001000100,0101001000100001
29,18,88,1000101001000100001,19,6,13,5,0.3157894736842105,5,4,2.6000,1000101001000100,0101001000100001
30,18,160,0101010100000100001,19,6,13,5,0.3157894736842105,6,5,2.1667,0101010100000100,1010100000100001
31,106,9232,10101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,107,40,67,39,0.37383177570093457,39,5,1.7179,1010101010010010,1010100000100001
32,5,32,000001,6,1,5,0,0.16666666666666666,1,5,5.0000,000001,000001
33,26,100,100100101000101001000100001,27,9,18,8,0.3333333333333333,8,4,2.2500,1001001010001010,0101001000100001
34,13,52,01001000100001,14,4,10,3,0.2857142857142857,4,4,2.5000,01001000100001,01001000100001
35,13,160,10100000100001,14,4,10,3,0.2857142857142857,3,5,3.3333,10100000100001,10100000100001
36,21,52,0010010101001000100001,22,7,15,6,0.3181818181818182,7,4,2.1429,0010010101001000,0101001000100001
37,21,112,1000010101001000100001,22,7,15,6,0.3181818181818182,6,4,2.5000,1000010101001000,0101001000100001
38,21,88,0101000101001000100001,22,7,15,6,0.3181818181818182,7,4,2.1429,0101000101001000,0101001000100001
39,34,304,10101001010000101000101001000100001,35,12,23,11,0.34285714285714286,11,4,2.0909,1010100101000010,0101001000100001
40,8,40,000100001,9,2,7,1,0.2222222222222222,2,4,3.5000,000100001,000100001
41,109,9232,10010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,110,41,69,40,0.37272727272727274,40,5,1.7250,1001010101010010,1010100000100001
42,8,64,010000001,9,2,7,1,0.2222222222222222,2,6,3.5000,010000001,010000001
43,29,196,101001001000010101001000100001,30,10,20,9,0.3333333333333333,9,4,2.2222,1010010010000101,0101001000100001
44,16,52,00101001000100001,17,5,12,4,0.29411764705882354,5,4,2.4000,0010100100010000,0101001000100001
45,16,136,10001001000100001,17,5,12,4,0.29411764705882354,4,4,3.0000,1000100100010000,0001001000100001
46,16,160,01010100000100001,17,5,12,4,0.29411764705882354,5,5,2.4000,0101010000010000,1010100000100001
47,104,9232,101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,105,39,66,38,0.37142857142857144,38,5,1.7368,1010101001001010,1010100000100001
48,11,48,000010100001,12,3,9,2,0.25,3,4,3.0000,000010100001,000010100001
49,24,148,1001000010101001000100001,25,8,17,7,0.32,7,4,2.4286,1001000010101001,0101001000100001
50,24,88,0100101000101001000100001,25,8,17,7,0.32,8,4,2.1250,0100101000101001,0101001000100001
51,24,232,1010001000101001000100001,25,8,17,7,0.32,7,4,2.4286,1010001000101001,0101001000100001
52,11,52,001000100001,12,3,9,2,0.25,3,4,3.0000,001000100001,001000100001
53,11,160,100000100001,12,3,9,2,0.25,2,5,4.5000,100000100001,100000100001
54,112,9232,01010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,113,42,71,41,0.37168141592920356,42,5,1.6905,0101001010101010,1010100000100001
55,112,9232,10101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,113,42,71,41,0.37168141592920356,41,5,1.7317,1010100010101010,1010100000100001
56,19,56,00010101001000100001,20,6,14,5,0.3,6,4,2.3333,0001010100100010,0101001000100001
57,32,196,100101001001000010101001000100001,33,11,22,10,0.3333333333333333,10,4,2.2000,1001010010010000,0101001000100001
58,19,88,01000101001000100001,20,6,14,5,0.3,6,4,2.3333,0100010100100010,0101001000100001
59,32,304,101001010000101000101001000100001,33,11,22,10,0.3333333333333333,10,4,2.2000,1010010100001010,0101001000100001
60,19,160,00101010100000100001,20,6,14,5,0.3,6,5,2.3333,0010101010000010,1010100000100001
61,19,184,10001010100000100001,20,6,14,5,0.3,5,5,2.8000,1000101010000010,1010100000100001
62,107,9232,010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,108,40,68,39,0.37037037037037035,40,5,1.7000,0101010101001001,1010100000100001
63,107,9232,101010101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,108,40,68,39,0.37037037037037035,39,5,1.7436,1010101010100001,1010100000100001
64,6,64,0000001,7,1,6,0,0.14285714285714285,1,6,6.0000,0000001,0000001
65,27,196,1001001000010101001000100001,28,9,19,8,0.32142857142857145,8,4,2.3750,1001001000010101,0101001000100001
66,27,100,0100100101000101001000100001,28,9,19,8,0.32142857142857145,9,4,2.1111,0100100101000101,0101001000100001
67,27,304,1010000101000101001000100001,28,9,19,8,0.32142857142857145,8,4,2.3750,1010000101000101,0101001000100001
68,14,68,001001000100001,15,4,11,3,0.26666666666666666,4,4,2.7500,001001000100001,001001000100001
69,14,208,100001000100001,15,4,11,3,0.26666666666666666,3,4,3.6667,100001000100001,100001000100001
70,14,160,010100000100001,15,4,11,3,0.26666666666666666,4,5,2.7500,010100000100001,010100000100001
71,102,9232,1010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,103,38,65,37,0.36893203883495146,37,5,1.7568,1010100100101001,1010100000100001
72,22,72,00010010101001000100001,23,7,16,6,0.30434782608695654,7,4,2.2857,0001001010100100,0101001000100001
73,115,9232,10010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,116,43,73,42,0.3706896551724138,42,5,1.7381,1001010100010101,1010100000100001
74,22,112,01000010101001000100001,23,7,16,6,0.30434782608695654,7,4,2.2857,0100001010100100,0101001000100001
75,14,340,101001000000001,15,4,11,3,0.26666666666666666,3,8,3.6667,101001000000001,101001000000001
76,22,88,00101000101001000100001,23,7,16,6,0.30434782608695654,7,4,2.2857,0010100010100100,0101001000100001
77,22,232,10001000101001000100001,23,7,16,6,0.30434782608695654,6,4,2.6667,1000100010100100,0101001000100001
78,35,304,010101001010000101000101001000100001,36,12,24,11,0.3333333333333333,12,4,2.0000,0101010010100001,0101001000100001
79,35,808,101010100010000101000101001000100001,36,12,24,11,0.3333333333333333,11,4,2.1818,1010101000100001,0101001000100001
80,9,80,0000100001,10,2,8,1,0.2,2,4,4.0000,0000100001,0000100001
81,22,244,10010001010100000100001,23,7,16,6,0.30434782608695654,6,5,2.6667,1001000101010000,1010100000100001
82,110,9232,010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,111,41,70,40,0.36936936936936937,41,5,1.7073,0100101010101001,1010100000100001
83,110,9232,101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,111,41,70,40,0.36936936936936937,40,5,1.7500,1010001010101001,1010100000100001
84,9,84,0010000001,10,2,8,1,0.2,2,6,4.0000,0010000001,0010000001
85,9,256,1000000001,10,2,8,1,0.2,1,8,8.0000,1000000001,1000000001
86,30,196,0101001001000010101001000100001,31,10,21,9,0.3225806451612903,10,4,2.1000,0101001001000010,0101001000100001
87,30,592,1010100001000010101001000100001,31,10,21,9,0.3225806451612903,9,4,2.3333,1010100001000010,0101001000100001
88,17,88,000101001000100001,18,5,13,4,0.2777777777777778,5,4,2.6000,0001010010001000,0101001000100001
89,30,304,1001010000101000101001000100001,31,10,21,9,0.3225806451612903,9,4,2.3333,1001010000101000,0101001000100001
90,17,136,010001001000100001,18,5,13,4,0.2777777777777778,5,4,2.6000,0100010010001000,0001001000100001
91,92,9232,101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,93,34,59,33,0.3655913978494624,33,5,1.7879,1010010101001010,1010100000100001
92,17,160,001010100000100001,18,5,13,4,0.2777777777777778,5,5,2.6000,0010101000001000,1010100000100001
93,17,280,100010100000100001,18,5,13,4,0.2777777777777778,4,5,3.2500,1000101000001000,0010100000100001
94,105,9232,0101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,106,39,67,38,0.36792452830188677,39,5,1.7179,0101010100100101,1010100000100001
95,105,9232,1010101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,106,39,67,38,0.36792452830188677,38,5,1.7632,1010101010000101,1010100000100001
96,12,96,0000010100001,13,3,10,2,0.23076923076923078,3,5,3.3333,0000010100001,0000010100001
97,118,9232,10010010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,119,44,75,43,0.3697478991596639,43,5,1.7442,1001001010100010,1010100000100001
98,25,148,01001000010101001000100001,26,8,18,7,0.3076923076923077,8,4,2.2500,0100100001010100,0101001000100001
99,25,448,10100000010101001000100001,26,8,18,7,0.3076923076923077,7,6,2.5714,1010000001010100,0101001000100001
100,25,100,00100101000101001000100001,26,8,18,7,0.3076923076923077,8,4,2.2500,0010010100010100,0101001000100001
101,25,304,10000101000101001000100001,26,8,18,7,0.3076923076923077,7,4,2.5714,1000010100010100,0101001000100001
102,25,232,01010001000101001000100001,26,8,18,7,0.3076923076923077,8,4,2.2500,0101000100010100,0101001000100001
103,87,9232,1010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,88,32,56,31,0.36363636363636365,31,5,1.8065,1010100101010100,1010100000100001
104,12,104,0001000100001,13,3,10,2,0.23076923076923078,3,4,3.3333,0001000100001,0001000100001
105,38,808,100101010100010000101000101001000100001,39,13,26,12,0.3333333333333333,12,4,2.1667,1001010101000100,0101001000100001
106,12,160,0100000100001,13,3,10,2,0.23076923076923078,3,5,3.3333,0100000100001,0100000100001
107,100,9232,10100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,101,37,64,36,0.36633663366336633,36,5,1.7778,1010010010100101,1010100000100001
108,113,9232,001010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,114,42,72,41,0.3684210526315789,42,5,1.7143,0010100101010101,1010100000100001
109,113,9232,100010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,114,42,72,41,0.3684210526315789,41,5,1.7561,1000100101010101,1010100000100001
110,113,9232,010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,114,42,72,41,0.3684210526315789,42,5,1.7143,0101010001010101,1010100000100001
111,69,9232,1010101001010010101010101000101010100001001001000010001010100000100001,70,25,45,24,0.35714285714285715,24,5,1.8750,1010101001010010,1010100000100001
112,20,112,000010101001000100001,21,6,15,5,0.2857142857142857,6,4,2.5000,0000101010010001,0101001000100001
113,12,340,1001000000001,13,3,10,2,0.23076923076923078,2,8,5.0000,1001000000001,1001000000001
114,33,196,0100101001001000010101001000100001,34,11,23,10,0.3235294117647059,11,4,2.0909,0100101001001000,0101001000100001
115,33,520,1010001001001000010101001000100001,34,11,23,10,0.3235294117647059,10,4,2.3000,1010001001001000,0101001000100001
116,20,116,001000101001000100001,21,6,15,5,0.2857142857142857,6,4,2.5000,0010001010010001,0101001000100001
117,20,352,100000101001000100001,21,6,15,5,0.2857142857142857,5,5,3.0000,1000001010010001,0101001000100001
118,33,304,0101001010000101000101001000100001,34,11,23,10,0.3235294117647059,11,4,2.0909,0101001010000101,0101001000100001
119,33,808,1010100010000101000101001000100001,34,11,23,10,0.3235294117647059,10,4,2.3000,1010100010000101,0101001000100001
120,20,160,000101010100000100001,21,6,15,5,0.2857142857142857,6,5,2.5000,0001010101000001,1010100000100001
121,95,9232,100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,96,35,61,34,0.3645833333333333,34,5,1.7941,1001010010101001,1010100000100001
122,20,184,010001010100000100001,21,6,15,5,0.2857142857142857,6,5,2.5000,0100010101000001,1010100000100001
123,46,628,10100101001000101001010000101000101001000100001,47,16,31,15,0.3404255319148936,15,4,2.0667,1010010100100010,0101001000100001
124,108,9232,0010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,109,40,69,39,0.3669724770642202,40,5,1.7250,0010101010100100,1010100000100001
125,108,9232,1000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,109,40,69,39,0.3669724770642202,39,5,1.7692,1000101010100100,1010100000100001
126,108,9232,0101010101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,109,40,69,39,0.3669724770642202,40,5,1.7250,0101010101010000,1010100000100001
127,46,4372,10101010101010010000100010001000101001000100001,47,16,31,15,0.3404255319148936,15,4,2.0667,1010101010101001,0101001000100001
128,7,128,00000001,8,1,7,0,0.125,1,7,7.0000,00000001,00000001
129,121,9232,10010010010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,122,45,77,44,0.36885245901639346,44,5,1.7500,1001001001010100,1010100000100001
130,28,196,01001001000010101001000100001,29,9,20,8,0.3103448275862069,9,4,2.2222,0100100100001010,0101001000100001
131,28,592,10100001000010101001000100001,29,9,20,8,0.3103448275862069,8,4,2.5000,1010000100001010,0101001000100001
132,28,132,00100100101000101001000100001,29,9,20,8,0.3103448275862069,9,4,2.2222,0010010010100010,0101001000100001
133,28,400,10000100101000101001000100001,29,9,20,8,0.3103448275862069,8,4,2.5000,1000010010100010,0101001000100001
134,28,304,01010000101000101001000100001,29,9,20,8,0.3103448275862069,9,4,2.2222,0101000010100010,0101001000100001
135,41,916,101010010000101001001000010101001000100001,42,14,28,13,0.3333333333333333,13,4,2.1538,1010100100001010,0101001000100001
136,15,136,0001001000100001,16,4,12,3,0.25,4,4,3.0000,0001001000100001,0001001000100001
137,90,9232,1001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,91,33,58,32,0.3626373626373626,32,5,1.8125,1001010100101010,1010100000100001
138,15,208,0100001000100001,16,4,12,3,0.25,4,4,3.0000,0100001000100001,0100001000100001
139,41,628,101001000101001010000101000101001000100001,42,14,28,13,0.3333333333333333,13,4,2.1538,1010010001010010,0101001000100001
140,15,160,0010100000100001,16,4,12,3,0.25,4,5,3.0000,0010100000100001,0010100000100001
141,15,424,1000100000100001,16,4,12,3,0.25,3,5,4.0000,1000100000100001,1000100000100001
142,103,9232,01010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,104,38,66,37,0.36538461538461536,38,5,1.7368,0101010010010100,1010100000100001
143,103,9232,10101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,104,38,66,37,0.36538461538461536,37,5,1.7838,1010101000010100,1010100000100001
144,23,144,000010010101001000100001,24,7,17,6,0.2916666666666667,7,4,2.4286,0000100101010010,0101001000100001
145,116,9232,100100010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,117,43,74,42,0.36752136752136755,42,5,1.7619,1001000100101010,1010100000100001
146,116,9232,010010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,117,43,74,42,0.36752136752136755,43,5,1.7209,0100101010001010,1010100000100001
147,116,9232,101000101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,117,43,74,42,0.36752136752136755,42,5,1.7619,1010001010001010,1010100000100001
148,23,148,001000010101001000100001,24,7,17,6,0.2916666666666667,7,4,2.4286,0010000101010010,0101001000100001
149,23,448,100000010101001000100001,24,7,17,6,0.2916666666666667,6,6,2.8333,1000000101010010,0101001000100001
150,15,340,0101001000000001,16,4,12,3,0.25,4,8,3.0000,0101001000000001,0101001000000001
151,15,1024,1010100000000001,16,4,12,3,0.25,3,10,4.0000,1010100000000001,1010100000000001
152,23,152,000101000101001000100001,24,7,17,6,0.2916666666666667,7,4,2.4286,0001010001010010,0101001000100001
153,36,520,1001010001001001000010101001000100001,37,12,25,11,0.32432432432432434,11,4,2.2727,1001010001001001,0101001000100001
154,23,232,010001000101001000100001,24,7,17,6,0.2916666666666667,7,4,2.4286,0100010001010010,0101001000100001
155,85,9232,10100101010100100010101001010010101010101000101010100001001001000010001010100000100001,86,31,55,30,0.36046511627906974,30,5,1.8333,1010010101010010,1010100000100001
156,36,304,0010101001010000101000101001000100001,37,12,25,11,0.32432432432432434,12,4,2.0833,0010101001010000,0101001000100001
157,36,472,1000101001010000101000101001000100001,37,12,25,11,0.32432432432432434,11,4,2.2727,1000101001010000,0101001000100001
158,36,808,0101010100010000101000101001000100001,37,12,25,11,0.32432432432432434,12,4,2.0833,0101010100010000,0101001000100001
159,54,9232,1010101010010101010100001001001000010001010100000100001,55,19,36,18,0.34545454545454546,18,5,2.0000,1010101010010101,1010100000100001
160,10,160,00000100001,11,2,9,1,0.18181818181818182,2,5,4.5000,00000100001,00000100001
161,98,9232,100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,99,36,63,35,0.36363636363636365,35,5,1.8000,1001001010010101,1010100000100001
162,23,244,010010001010100000100001,24,7,17,6,0.2916666666666667,7,5,2.4286,0100100010101000,1010100000100001
163,23,736,101000001010100000100001,24,7,17,6,0.2916666666666667,6,5,2.8333,1010000010101000,1010100000100001
164,111,9232,0010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,112,41,71,40,0.36607142857142855,41,5,1.7317,0010010101010100,1010100000100001
165,111,9232,1000010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,112,41,71,40,0.36607142857142855,40,5,1.7750,1000010101010100,1010100000100001
